id,_title,_description,keywords,_circa,_date created,_material,_width,_height,_depicts,year,_Lat,_Lon
001MF003002,Teatro São Pedro,"Quando a Praça Tiradentes ainda era chamada de Rocio Grande foi aí inaugurado, em 1813, o Teatro Real de São João. A construção havia sido uma sugestão de Fernando José de Almeira, mais conhecido como Fernandinho, já que o único teatro regular que existia na cidade, a Casa da Ópera Nova, não tinha condições de receber a Família Real, que há pouco havia aportado na cidade. Logo o São João tornou-se o lugar favorito de reunião da aristocracia brasileira. Em 1824, no entanto, sofreu o primeiro incêndio, que o destruiu por completo. Reconstruído por D. Pedro I em 1826, passou a chamar-se Teatro de São Pedro de Alcântara. Outros incêndios se seguiram, em 1851, 1856 e 1928, este último quando já se chamava João Caetano, grande artista brasileiro, que o havia arrendado em 1923. Em 1928 o velho teatro foi demolido, sendo reinaugurado em 1930. O atual prédio do João Caetano foi inaugurado em 1979, após passar por uma série de reformas.",Marc Ferrez,1865 – 1875,,FOTOGRAFIA/ Papel,7.8 cm,5.2 cm,,1870,,
001MF003007,Ilha de Villegaignon,"A Ilha de Villegaignon foi o  primeiro ponto tomado pelos franceses na Baía de Guanabara; foi assim nomeada  por causa de Nicolau Durand de Villegaignon, o fundador da França Antártica. Aí foi instalada pelos franceses uma grande fortificação, mantida pelos portugueses mesmo depois da expulsão dos inimigos e reformada no século XVIII, com a instalação de uma bateria de canhões em circuito. Em 1938 a ilha transformou-se em sede da Escola Naval.",Marc Ferrez,1868 – 1873,,FOTOGRAFIA/ Papel,8.7 cm,5.3 cm,,1870,,
001MF012003,Ilha das Flores,"Desconhecida por boa parte dos moradores da região, um dos marcos históricos da imigração no Brasil do século XIX está em São Gonçalo, onde funcionou a primeira hospedaria de imigrantes de todo o país. Nos últimos dois séculos, a ilha também abrigou um importante engenho de mandioca, foi espaço para uma pioneira experiência de criação intensiva de peixes, funcionou como presídio e depois como sede da Tropa de Reforço da Força de Fuzileiros da Esquadra do Corpo de Fuzileiros Navais, da marinha do Brasil.",Marc Ferrez,1880 – 1890,,FOTOGRAFIA/ Papel,34.6 cm,15.8 cm,,1885,,
001RR005,Avenida Central,"Vista geral da Avenida Central (atual Avenida Rio Branco), em direção à Prainha (atual Praça Mauá), na altura do cruzamento com a Rua de São José. A cúpula que se vê à esquerda, no centro da imagem, pertencia ao edifício do jornal O País.",Augusto Malta,,"February 20, 1906",REPRODUÇÃO FOTOMECÂNICA/ Papel,14 cm,8.5 cm,,1906,,
001SW001001,O bairro do Catete e o Pão de Açucar,"Vista do Morro da Glória e do bairro do Catete, a partir do Morro de Santa Teresa. Ao fundo, os morros Cara de Cão , Pão de Açúcar e a Urca.",Augusto Stahl,1861 – 1863,,FOTOGRAFIA/ Papel,24.5 cm,19.4 cm,,1862,,
001SW001003,Mercado da Glória,"vista do Bairro da Glória, à direita o edifício da Mercado Municipal, a igreja da Glória e a fábrica City.",Augusto Stahl,1861 – 1863,,FOTOGRAFIA/ Papel,26.1 cm,20.3 cm,,1862,,
002008OBAC008,Demolição do Morro do Castelo para a construção da avenida Central,"A abertura de uma avenida que cortasse o centro da cidade de ponta a ponta estava prevista quando começou-se as obras no porto do Rio de Janeiro, no início do século XX. Foi então rasgado um caminho, em linha reta, que ia da Praia da Ajuda à Prainha, e a maioria das ruas do entorno foi arrasada, além de desapropriados inúmeros imóveis. A primeira casa derrubada foi em março de1904 e já em setembro o prefeito Pereira Passos, o engenheiro  Paulo de Frontin (nomeado chefe das obras), Rodrigues Alves e Lauro Müller podiam percorrer a avenida de 1.996 metros de comprimento e 33 metros de largura. Com pavimentação artística de mestre calceteiros cedidos pela Câmara de Lisboa e ornamentada com paus-brasil e jambeiros, a Avenida Central foi inaugurada em 1905.",Torres,,1904,FOTOGRAFIA/ Papel,24.0 cm,16.0 cm,,1904,,
002008OBAC010,Demolição do Morro do Castelo,"A abertura de uma avenida que cortasse o centro da cidade de ponta a ponta estava prevista quando começou-se as obras no porto do Rio de Janeiro, no início do século XX. Foi então rasgado um caminho, em linha reta, que ia da Praia da Ajuda à Prainha, e a maioria das ruas do entorno foi arrasada, além de desapropriados inúmeros imóveis. A primeira casa derrubada foi em março de1904 e já em setembro o prefeito Pereira Passos, o engenheiro  Paulo de Frontin (nomeado chefe das obras), Rodrigues Alves e Lauro Müller podiam percorrer a avenida de 1.996 metros de comprimento e 33 metros de largura. Com pavimentação artística de mestre calceteiros cedidos pela Câmara de Lisboa e ornamentada com paus-brasil e jambeiros, a Avenida Central foi inaugurada em 1905.",Torres,,1904,FOTOGRAFIA/ Papel,24.0 cm,16.0 cm,,1904,,
002051AM001001,Vista noturna do Pavilhão de Caça e Pesca da Exposição Internacional do Centenário da Independência do Brasil,"Vista noturna da Exposição Internacional do Centenário da Independência do Brasil. No primeiro plano, o Pavilhão de Caça e Pesca. Concebida pelo prefeito engenheiro Carlos Sampaio, a exposição foi inaugurada pelo presidente Epitácio Pessoa no dia 07.09.1922. Os pavilhões espalhavam-se desde o final da avenida Rio Branco, junto ao Palácio Monroe, que sediava a Comissão Executiva, seguindo até a Ponta do Calabouço pela avenida das Nações (atual Presidente Wilson), através da esplanada recém criada com o desmonte do Morro do Castelo, seguindo ainda na direção da praça XV de Novembro. O Morro do Castelo veio abaixo, depois de inúmeros e antigos projetos com ""propósitos higiênicos e urbanísticos"", especificamente para alocar esse evento. A exposição permaneceu aberta durante um ano, sendo visitada por milhares de turistas brasileiros e estrangeiros. Alguns pavilhões sobreviveram ao evento: o Pavilhão das Indústrias abriga hoje o Museu Histórico Nacional; o Pavilhão francês, réplica do ""Petit Trianon"", foi doado pela França para a Academia Brasileira de Letras; o da Administração é atualmente a sede do Museu da Imagem e do Som e o da Estatística, localiza-se ao lado do Clube da Aeronáutica.",Augusto Malta,,1922,FOTOGRAFIA/ Papel,22.7 cm,16.9 cm,,1922,,
002051AM001003,"Vista do Pavilhão da Itália, integrante da Exposição Internacional do Centenário da Independência do Brasil","Vista do Pavilhão da Itália, integrante da Exposição Internacional do Centenário da Independência do Brasil de 1922. Concebida pelo prefeito engenheiro Carlos Sampaio, a exposição foi inaugurada pelo presidente Epitácio Pessoa no dia 07.09.1922. Os pavilhões espalhavam-se desde o final da avenida Rio Branco, junto ao Palácio Monroe, que sediava a Comissão Executiva, seguindo até a Ponta do Calabouço pela avenida das Nações (atual Presidente Wilson), através da esplanada recém criada com o desmonte do Morro do Castelo, seguindo ainda na direção da praça XV de Novembro. O Morro do Castelo veio abaixo, depois de inúmeros e antigos projetos com ""propósitos higiênicos e urbanísticos"", especificamente para alocar esse evento. A exposição permaneceu aberta durante um ano, sendo visitada por milhares de turistas brasileiros e estrangeiros. Alguns pavilhões sobreviveram ao evento: o Pavilhão das Indústrias abriga hoje o Museu Histórico Nacional; o Pavilhão francês, réplica do ""Petit Trianon"", foi doado pela França para a Academia Brasileira de Letras; o da Administração é atualmente a sede do Museu da Imagem e do Som e o da Estatística, localiza-se ao lado do Clube da Aeronáutica.",Augusto Malta,,1922,FOTOGRAFIA/ Papel,22.7 cm,17.2 cm,,1922,,
002051AM001004,Vista da Exposição Internacional do Centenário da Independência do Brasil,"Vista da Exposição Internacional do Centenário da Independência do Brasil. Os pavilhões espalhavam-se desde a avenida Rio Branco até a Ponta do Calabouço, na esplanada recém criada com o desmonte do Morro do Castelo, seguindo ainda na direção da praça XV de Novembro. Pode-se identificar na avenida Rio Branco, no plano central da imagem e da esquerda para a direita, as seguintes edificações: o Palácio Monroe, as torres da igreja de Santa Luzia, os fundos da Biblioteca Nacional, da Escola de Belas Artes e do Teatro Municipal.",Augusto Malta,,1922,FOTOGRAFIA/ Papel,22.9 cm,16.9 cm,,1922,,
002051AM001005,Vista parcial da Exposição Internacional do Centenário da Independência do Brasil,"Vista parcial da Exposição Internacional do Centenário da Independência do Brasil, em 1922. À esquerda destaca-se a ""Torre da Exposição"", como ficou conhecida, com cerca de 30 metros de altura, de onde jorravam focos de luz que dominavam todo o conjunto. Concebida pelo prefeito engenheiro Carlos Sampaio, a exposição foi inaugurada pelo presidente Epitácio Pessoa no dia 07.09.1922. Os pavilhões espalhavam-se desde o final da avenida Rio Branco, junto ao Palácio Monroe, que sediava a Comissão Executiva, seguindo até a Ponta do Calabouço pela avenida das Nações (atual Presidente Wilson), através da esplanada recém criada com o desmonte do Morro do Castelo, seguindo ainda na direção da praça XV de Novembro. O Morro do Castelo veio abaixo, depois de inúmeros e antigos projetos com ""propósitos higiênicos e urbanísticos"", especificamente para alocar esse evento. A exposição permaneceu aberta durante um ano, sendo visitada por milhares de turistas brasileiros e estrangeiros. Alguns pavilhões sobreviveram ao evento: o Pavilhão das Indústrias abriga hoje o Museu Histórico Nacional; o Pavilhão francês, réplica do ""Petit Trianon"", foi doado pela França para a Academia Brasileira de Letras; o da Administração é atualmente a sede do Museu da Imagem e do Som e o da Estatística, localiza-se ao lado do Clube da Aeronáutica.",Augusto Malta,,1922,FOTOGRAFIA/ Papel,22.8 cm,17.2 cm,,1922,,
002051AM002002,"Praça XV de novembro e arredores vistos do alto do morro do Castelo, ao fundo, Ilha das Cobras e ponte Almirante Alexandrino","Vista panorâmica dos arredores da praça 15 de Novembro, a partir do morro do Castelo, com a ilha das Cobras ao fundo. Destaca-se a Igreja de São José no centro da imagem, na rua Primeiro de Março (antiga rua Direita).",Augusto Malta,1915 – 1925,,FOTOGRAFIA/ Papel,23 cm,16.8 cm,,1920,,
002051AN009,"Vista aérea do Rio de Janeiro, tomada do interior do Graf Zepellin","Vista do Rio de Janeiro, tomada a partir do interior do Graf Zepellin. À esquerda, detalhe da área externa do dirigível. Ao fundo, vê-se os morros do Pão de Açúcar, Urca e Babilônia, entrevendo-se ainda a Escola Militar, que seria destruída em 1935. O bairro da Urca já está formado. Em 1930, o Graf Zeppelin (LZ 127) fez o primeiro vôo experimental ao Brasil, saindo de Friedrichschafen, Alemanha, para Recife e Rio de Janeiro, e a partir de 1932 manteve linha regular ao Brasil. O Hindenburg (LZ 129) viaja para o Brasil em 1936 e, em 1937 é destruído por trágico incêndio em Lakehurst, Nova York. Durante os Jogos Olímpicos de Berlim, em 1936, os dirigíveis foram pintados com os anéis símbolos das Olimpíadas e a suástica, símbolo do partido nazista alemão. Ao todo foram construídos 119 zepellins, entre 1900 (o LZ 1) e 1938.",Anônimo,1933 – 1937,,FOTOGRAFIA/ Papel,13.8 cm,8.7 cm,,1935,,
002051AN010,"Vista aérea de Copacabana, no Rio de Janeiro, tomada do interior do Graf Zepellin","Vista aérea de Copacabana, no Rio de Janeiro, tomada do interior do Graf Zepellin. À direita pode-se ver os motores externos do dirigível. Ao fundo, vê-se o morro do Pão de Açúcar. Em 1930, o Graf Zeppelin (LZ 127) fez o primeiro vôo experimental ao Brasil, saindo de Friedrichschafen, Alemanha, para Recife e Rio de Janeiro, e a partir de 1932 manteve linha regular ao Brasil. O Hindenburg (LZ 129) viaja para o Brasil em 1936 e, em 1937 é destruído por trágico incêndio em Lakehurst, Nova York. Durante os Jogos Olímpicos de Berlim, em 1936, os dirigíveis foram pintados com os anéis símbolos das Olimpíadas e a suástica, símbolo do partido nazista alemão. Ao todo foram construídos 119 zepellins, entre 1900 (o LZ 1), e 1938.",Anônimo,1933 – 1937,,FOTOGRAFIA/ Papel,13.7 cm,8.7 cm,,1935,,
002054VIAN004,"Pedra do Arpoador e trilho de bonde, tomados das cercanias da residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francisco Otaviano.",,José Baptista Barreira Vianna,,1902,FOTOGRAFIA/ Papel,,,,1902,,
002054VIAN012,"Residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francsico Otaviano. Ilhas Cagarras ao fundo.",,José Baptista Barreira Vianna,,1903,FOTOGRAFIA/ Papel,,,,1903,,
002054VIAN014,"Residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francisco Otaviano. Ilhas Cagarras ao fundo.",,José Baptista Barreira Vianna,,1903,FOTOGRAFIA/ Papel,,,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q468540"">Ipanema</a>",1903,,
002054VIAN031,"Residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francisco Otaviano. Pão de Açúcar e praia de Copacabana ao fundo.",,José Baptista Barreira Vianna,1900 – 1903,,FOTOGRAFIA/ Papel,,,,1901,,
002054VIAN040,Bonde nas proximidades da pedra do Arpoador,,José Baptista Barreira Vianna,1900 – 1903,,FOTOGRAFIA/ Papel,,,,1901,,
002080BR0206,"Igreja de Santa Luzia, è direita, e Igreja de São Sebastião, no alto do morro do Castelo",,Guilherme Santos,,1915,DIAPOSITIVO/ Vidro,11 cm,4.5 cm,,1915,,
002080BR0207,Largo do Machado,,Guilherme Santos,,1917,DIAPOSITIVO/ Vidro,11 cm,4.5 cm,,1917,,
002080RJ2807,Desfile de corsos durante o carnaval,,Guilherme Santos,1922 – 1932,,DIAPOSITIVO/ Vidro,11 cm,4.5 cm,,1927,,
002080RJ2815,Carnaval,,Guilherme Santos,,1932,DIAPOSITIVO/ Vidro,11 cm,4.5 cm,,1932,,
0071824cx001-01,Vista do Pão de Açúcar a partir da Fortaleza de Santa Cruz,"Morro do Pão de Açúcar visto a partir da Fortaleza de Santa Cruz, em Niterói.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1890,,
0071824cx001-02,"Entrada da Baía de Guanabara, Pão de Açúcar","Baía de Guanabara, Pão de Açúcar e Fortaleza de Santa Cruz.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",1890,,
0071824cx001-04,"Largo da Carioca, chafariz com 35 bicas","Vista do Largo da Carioca, com chafariz ao fundo, já como ponto final de linhas de bonde.",Marc Ferrez,1890 – 1900,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10316344"">Largo da Carioca</a>",1895,,
0071824cx001-05,Vista da Praia de Santa Luzia,Vista tomada da Ponta do Calabouço. À direita vêem-se o Morro do Castelo e a Igreja de Santa Luzia.,Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q8678"">Rio de Janeiro</a>",1885,,
0071824cx001-06,"Rua Primeiro de Março, Convento do Carmo e Igreja de Nossa Senhora do Carmo à esquerda","Vista do Largo do Paço, Rua Primeiro de Março e  à esquerda, em primeiro plano a Igreja de Nossa Senhora do Monte do Carmo, ainda sem sua torra e ao lado a  Igreja da Ordem Terceira do Carmo. Não havia ainda linha de bondes na rua 7 de setembro.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10353359"">Praça XV de Novembro</a>",1890,,
0071824cx001-08,Pão de Açúcar visto de Niterói,Pão de Açúcar visto a partir de Niterói.,Marc Ferrez,1875 – 1885,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",1880,,
0071824cx001-09,Pão de Açúcar visto de Niterói,"Pão de Açúcar, morro da Urca e Fortaleza de Santa Cruz vistos de Niterói",Marc Ferrez,1875 – 1885,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",1880,,
0071824cx001-10,Vista do Pão de Açúcar a partir da Fortaleza de Santa Cruz,"Morro do Pão de Açúcar e morro da Urca a partir da Fotaleza de Santa Cruz, em Niterói,",Marc Ferrez,1875 – 1885,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1880,,
0071824cx001-11,Fortaleza de Santa Cruz,"Fortaleza de Santa Cruz da Barra localiza-se no lado oriental da barra da baía de Guanabara, no bairro de Jurujuba, município de Niterói, no estado do Rio de Janeiro.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1890,,
0071824cx001-13,Vista da Fortaleza de Santa Cruz,"Fortaleza de Santa Cruz da Barra localiza-se no lado oriental da barra da baía de Guanabara, no bairro de Jurujuba, município de Niterói, no estado brasileiro do Rio de Janeiro.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1890,,
0071824cx001-14,Vista do Pão de Açúcar a partir da Fortaleza de Santa Cruz,"Vista do Pão de Açúcar e da Fortaleza de Santa Cruz, tomada do forte de São Luiz, atualmente denominado Forte Barão do Rio Branco em Niterói.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",1890,,
0071824cx001-15,Pão de Açúcar visto de Niterói,"Fortaleza de Santa Cruz da Barra localiza-se no lado oriental da barra da baía de Guanabara, no bairro de Jurujuba, município de Niterói, no estado brasileiro do Rio de Janeiro.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1890,,
0071824cx003a-04,Igreja de Nossa Senhora da Glória,"Por decreto imperial de 1834, foi criada no Rio de Janeiro a freguesia de Nossa Senhora da Glória, e a 30 de outubro do mesmo ano marcados os seus limites. Essa nova freguesia era um desmembramento da de São José, que já àquele tempo era muito populosa, e compreendia toda a vasta área da cidade, não só da que ainda lhe pertence, mas ia até os confins do bairro da Gávea. A freguesia de São João Batista da Lagoa já havia sido instituída anteriormente; entretanto a população de Laranjeiras, Catete e Botafogo, por muito numerosa, sobrecarregava de serviço a de São José.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10316374"">Largo do Machado</a>",1890,,
0071824cx003a-05,Igreja de São Joaquim,"Vista da Igreja de São Joaquim  na Rua Larga, atual avenida Marechal Floriano, erguida em 1758.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,,1890,,
0071824cx003a-06,Igreja de Nossa Senhora da Glória,"Por decreto imperial de 1834, foi criada no Rio de Janeiro a freguesia de Nossa Senhora da Glória, e a 30 de outubro do mesmo ano marcados os seus limites. Essa nova freguesia era um desmembramento da de São José, que já àquele tempo era muito populosa, e compreendia toda a vasta área da cidade, não só da que ainda lhe pertence, mas ia até os confins do bairro da Gávea. A freguesia de São João Batista da Lagoa já havia sido instituída anteriormente; entretanto a população de Laranjeiras, Catete e Botafogo, por muito numerosa, sobrecarregava de serviço a de São José.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10316374"">Largo do Machado</a>",1890,,
0071824cx003a-09,Igreja São Francisco de Paula,"Igreja São Francisco de Paula localiza-se no Largo São Francisco de Paula, no centro do Rio de Janeiro. A igreja foi inaugurada oficialmente em 7 de março de 1865, com a presença dos imperadores D. Pedro II e D. Teresa Cristina.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10316364"">Largo de São Francisco de Paula</a>",1885,,
0071824cx004-01,Ilha Fiscal,"Vista da Ilha Fiscal, tomada de uma embarcação. Transferida para a Marinha pelo Ministério da Fazenda, em 1913, a Ilha é hoje parte do Complexo Cultural do Serviço de Documentação da Marinha (DPHDM). Cenário do evento que ficou conhecido como “O Último Baile do Império”, realizado alguns dias antes da Proclamação da República.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1885,,
0071824cx004-02,Ilha Fiscal,"Vista da Ilha Fiscal, tomada de uma embarcação. Transferida para a Marinha pelo Ministério da Fazenda, em 1913, a Ilha fiscal é hoje parte do Complexo Cultural do Serviço de Documentação da Marinha (DPHDM). Cenário do evento que ficou conhecido como “O Último Baile do Império”, realizado alguns dias antes da Proclamação da República.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1885,,
0071824cx006-01,"Monumento a D. Pedro I no Largo do Rocio, atual praça Tiradentes",Vista da estátua de Dom Pedro I na praça Tiradentes.,Marc Ferrez,1885 – 1900,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10353390"">Praça Tiradentes</a>",1892,,
0071824cx006-02,"Estátua do General Osório, vendo-se ao fundo o Morro do Castelo","A estátua que homenageia o famoso herói da Guerra do Paraguai, de autoria de Rodolfo Bernardelli, foi inaugurada em 1894 e é o primeiro monumento público do Rio na era republicana. A estátua eqüestre do General Osório mede 8m de altura e, num gesto de audácia, foi feita com o bronze dos canhões tomados pelo Brasil na Guerra do Paraguai.",Marc Ferrez,1894 – 1905,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10277581"">General Osorio statue</a>",1899,,
0071824cx006-03,Monumento a Pedro Alvares Cabral - Largo da Glória,"Estátua criada no ano de comemorações aos 400 anos do descobrimento do Brasil, pelo escultor Rodolfo Bernardeli, em homenagem a Pedro Alvares Cabral.",Marc Ferrez,1900 – 1900,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q1532671"">Glória</a>",1900,,
0071824cx006-04,Monumento a José de Alencar,"Monumento a José de Alencar que está situado na Praça José de Alencar, inaugurado em 7 de maio de 1897 no Flamengo.",Marc Ferrez,1895 – 1905,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q995561"">Flamengo</a>",1900,,
0071824cx006-12,Entrada da baía e adjacências,"Entrada da Baía de Guanabara, Cais Pharoux, e vista do Centro do Rio de Janeiro.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q224101"">Baía de Guanabara</a>",1885,,
0071824cx006-13,Palácio do Catete - fachada,"Palácio do Catete, atual Museu da República.",Marc Ferrez,1889 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,,1892,,
0071824cx006-15,Vista panorâmica da enseada de Botafogo a partir do topo do Corcovado,Panorama do Rio de Janeiro a partir do topo do Corcovado,Marc Ferrez,1880 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q506938"">Corcovado</a>",1887,,
0071824cx007-01,A lagoa do Jardim Botânico,Vista da lagoa no Jardim Botânico.,Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q45242"">Jardim Botânico do Rio de Janeiro</a>",1890,,
0071824cx007-02,Rua Jardim Botânico,"Rua principal do Bairro Jardim Botânico, levou esse nome por abrigar o Jardim Botânico do Rio de Janeiro, instituição científica criada em 1808.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q97610404"">Rua Jardim Botânico</a>",1885,,
0071824cx007-03,Corcovado a partir do Jardim Botânico,Morro do corcovado visto a partir do Jardim Botânico do Rio de Janeiro.,Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q45242"">Jardim Botânico do Rio de Janeiro</a>",1890,,
0071824cx007-04,Vista do Pão de Açúcar,"Vista do morro da Urca, morro Cara de Cão, enseada de Botafogo, Copacabana e Urca, tomada do Pão de Açúcar.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q894624"">Botafogo (Bairro)</a>",1890,,
0071824cx010-10,Monumento a Pedro Álvares Cabral,Estátua criada por Rodolfo Bernardeli no Largo da Glória em comemoração aos 400 anos de descobrimento do Brasil na época.,Marc Ferrez,1904 – 1904,,NEGATIVO/ Vidro,18.0 cm,24.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q1532671"">Glória</a>",1904,,
0071824cx011-02,Largo da Carioca (Antigo),"Antigo largo da Carioca, vendo-se o chafariz de 35 bicas.",Marc Ferrez,1885 – 1895,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10316344"">Largo da Carioca</a>",1890,,
0071824cx011-03,"Praça XV de Novembro, vendo-se o Chafariz Mestre Valentim em primeiro plano","A Praça XV, também conhecida como Praça XV de Novembro, Praça Quinze de Novembro ou Praça Quinze, é uma praça situada no bairro do Centro, na Zona Central da cidade do Rio de Janeiro. Além de estar localizada na Rua Primeiro de Março, a praça integra a Orla Conde, um passeio público que margeia a Baía de Guanabara.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10353359"">Praça XV de Novembro</a>",1885,,
0071824cx011-04,"Praça XV de Novembro, vendo-se  Chafariz Mestre Valentim em primeiro plano","A Praça XV, também conhecida como Praça XV de Novembro, Praça Quinze de Novembro ou Praça Quinze, é uma praça situada no bairro do Centro, na Zona Central da cidade do Rio de Janeiro. Além de estar localizada na Rua Primeiro de Março, a praça integra a Orla Conde, um passeio público que margeia a Baía de Guanabara.",Marc Ferrez,1880 – 1890,,NEGATIVO/ Vidro,24.0 cm,18.0 cm,"<a class=""uri-value-link"" target=""_blank"" href=""http&#x3A;&#x2F;&#x2F;www.wikidata.org&#x2F;entity&#x2F;Q10353359"">Praça XV de Novembro</a>",1885,,
