qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
Q65620854,Q125191,Academia Imperial de Belas Artes,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1886-01-01T00:00:00Z/8,1881-01-01T00:00:00Z/9,1889-01-01T00:00:00Z/9,Q155,@-22.90562/-43.18333,8.48366U11573,-19.32841U28390,96.83498U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx033b-01,Q172984||Q35158,50.003U28390,300U174728,240U174728,75344
Q65620855,Q125191,Vista do Largo da Glória,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1900-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,1905-01-01T00:00:00Z/9,Q155,@-22.92096/-43.17622,11.74685U11573,-24.01263U28390,94.47402U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx033b-02,Q172984||Q35158,43.9996U28390,300U174728,240U174728,75345
Q65620857,Q125191,Morro do Pão de Açucar,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1903-01-01T00:00:00Z/9,1898-01-01T00:00:00Z/9,1908-01-01T00:00:00Z/9,Q155,@-22.95644/-43.16466,20.71299U11573,61.91257U28390,93.85051U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx036-10,Q172984||Q35158,48.11U28390,300U174728,240U174728,82895
Q65620858,Q125191,"Morro do Pão de Açúcar; ao fundo, os prédios da Exposição Nacional Comemorativa do 1º Centenário da Abertura dos Portos do Brasil",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1908-01-01T00:00:00Z/8,1907-01-01T00:00:00Z/9,1909-01-01T00:00:00Z/9,Q155,@-22.94331/-43.18223,36.47958U11573,114.2059U28390,93.11613U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx040-02,Q172984||Q35158,54.26U28390,300U174728,240U174728,71045
Q65620859,Q125191,Rua do Russel,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.92234/-43.17359,10.00138U11573,106.02552U28390,95.60564U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx040-03,Q172984||Q35158,50.0U28390,300U174728,240U174728,71046
Q65620860,Q125191,Vista de Copacabana,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1880-01-01T00:00:00Z/8,1875-01-01T00:00:00Z/9,1885-01-01T00:00:00Z/9,Q155,@-22.95752/-43.16989,247.5394U11573,-131.33378U28390,81.88665U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx040-04,Q904614||Q35158,61.61U28390,300U174728,240U174728,71047
Q65620861,Q125191,"Estrada de Ferro do Corcovado, Trem em movimento",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1884-01-01T00:00:00Z/8,1884-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.94586/-43.21521,430.21802U11573,-47.44793U28390,101.67911U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx040-05,Q172984||Q35158,50.005U28390,300U174728,240U174728,71048
Q65620862,Q125191,"Morro do Pão de Açúcar; ao fundo, os prédios da Exposição Nacional Comemorativa do 1º Centenário da Abertura dos Portos do Brasil",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1908-01-01T00:00:00Z/8,1907-01-01T00:00:00Z/9,1909-01-01T00:00:00Z/9,Q155,@-22.94331/-43.18223,36.27669U11573,115.80094U28390,91.77927U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx040-08,Q172984||Q35158,45.45U28390,300U174728,240U174728,71051
Q65620865,Q125191,Campo da Aclamação,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1882-01-01T00:00:00Z/8,1877-01-01T00:00:00Z/9,1887-01-01T00:00:00Z/9,Q155,@-22.906/-43.18983,10.81679U11573,55.28053U28390,88.86803U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx041-03,Q904614||Q35158,42.99U28390,300U174728,240U174728,71054
Q65620871,Q125191,Chafariz do Mestre Valentim,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.90283/-43.1748,13.85559U11573,80.59004U28390,88.17705U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx044a-04,Q172984||Q35158,50.0U28390,300U174728,240U174728,71039
Q65620872,Q125191,Vista do centro da cidade,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1900-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.90195/-43.17021,8.14746U11573,173.78091U28390,96.40074U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx044b-02,Q172984||Q35158,54.64U28390,300U174728,240U174728,82912
Q65620873,Q125191,Vista do centro; tomada da Ilha das Cobras,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1900-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.89651/-43.17477,34.54704U11573,-87.4792U28390,86.19586U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx044b-03,Q172984||Q35158,65.61U28390,300U174728,240U174728,82913
Q65620874,Q125191,Vista do centro; tomada da Ilha das Cobras,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1900-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.89636/-43.17446,39.93905U11573,-143.77602U28390,85.97206U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx044b-04,Q172984||Q35158,62.09U28390,300U174728,240U174728,82914
Q65620875,Q125191,Vista do centro; tomada da Ilha das Cobras,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1900-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.89715/-43.17483,22.80537U11573,162.25432U28390,91.70998U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx044b-05,Q172984||Q35158,54.1U28390,300U174728,240U174728,82915
Q65620876,Q125191,Arcos da Lapa,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1900-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.91192/-43.17922,26.34325U11573,-131.78156U28390,87.62027U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx044b-07,Q172984||Q35158,54.54U28390,300U174728,240U174728,87204
Q65620879,Q125191,Vista da praia de Botafogo tomada da Praça Nicarágua,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.9421/-43.17687,10.37194U11573,-107.42531U28390,95.33024U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx045a-07,Q172984||Q35158,39.96U28390,300U174728,240U174728,82907
Q65620881,Q125191,"Estrada de Ferro do Corcovado, Viaduto do Silvestre, Km 1 (aproximadamente)",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1884-01-01T00:00:00Z/8,1884-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.94633/-43.20363,191.60218U11573,-73.81751U28390,100.98996U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx046-06,Q172984||Q35158,40.69U28390,300U174728,240U174728,75314
Q65620882,Q125191,"Estrada de Ferro do Corcovado, Viaduto do Silvestre, Km 1 (aproximadamente)",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1884-01-01T00:00:00Z/8,1884-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.94632/-43.20509,211.46007U11573,63.71093U28390,85.06887U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx046-09,Q172984||Q35158,50.0U28390,300U174728,240U174728,75317
Q65620885,Q125191,Vista da Baía da Guanabara,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.95188/-43.21014,707.99467U11573,26.33269U28390,88.1746U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx046-13,Q172984||Q35158,40.0U28390,300U174728,240U174728,75321
Q65620886,Q125191,Vista do Corcovado,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1886-01-01T00:00:00Z/8,1881-01-01T00:00:00Z/9,1891-01-01T00:00:00Z/9,Q155,@-22.953/-43.22582,499.55258U11573,104.39746U28390,85.52787U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx046-15,Q172984||Q35158,70.04U28390,300U174728,240U174728,75323
Q65620887,Q125191,Estrada de Ferro do Corcovado com o mirante Chapéu do Sol ao fundo,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/9,1884-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.94535/-43.21549,440.15934U11573,141.52585U28390,87.80578U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx046-16,Q172984||Q35158,42.95U28390,240U174728,300U174728,75324
Q65620888,Q125191,"Hotel Avenida, em segundo plano o edifício da Imprensa Nacional",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1912-01-01T00:00:00Z/8,1907-01-01T00:00:00Z/9,1917-01-01T00:00:00Z/9,Q155,@-22.90707/-43.17669,12.08328U11573,-78.5417U28390,98.68779U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx047-02,Q172984||Q35158,60.0U28390,300U174728,240U174728,75341
Q65620889,Q125191,Vista do canal do Mangue,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1900-01-01T00:00:00Z/8,1895-01-01T00:00:00Z/9,1905-01-01T00:00:00Z/9,Q155,@-22.91052/-43.20854,11.09245U11573,82.28747U28390,93.45413U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx047-04,Q172984||Q35158,56.21U28390,300U174728,240U174728,75343
Q65620890,Q125191,"Passeio Público, Palácio Monroe e o Morro do Castelo; tomados da Glória",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.91863/-43.17847,67.22975U11573,30.111U28390,86.0483U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx047-07,Q172984||Q35158,44.72U28390,300U174728,240U174728,82898
Q65620892,Q125191,Bairro de Botafogo,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.94327/-43.18223,35.20016U11573,-118.02091U28390,92.31055U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx050-06,Q172984||Q35158,45.29U28390,300U174728,240U174728,71018
Q65620893,Q125191,"Monumento em homenagem a D. Pedro I, estátua equestre",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.90643/-43.1826,14.92504U11573,-158.02454U28390,92.62989U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx053-01,Q172984||Q35158,50.01U28390,300U174728,240U174728,75346
Q65620894,Q125191,Igreja de Nossa Senhora da Candelária,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.90017/-43.17736,10.95886U11573,-160.56538U28390,107.95693U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx053-06,Q172984||Q35158,65.67U28390,240U174728,300U174728,75350
Q65620895,Q125191,"Entrada da Baía de Guanabara, ao fundo o Pão de Açúcar",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.94398/-43.11625,132.50376U11573,-102.7906U28390,89.06753U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx055-04,Q172984||Q35158,36.7U28390,300U174728,240U174728,70985
Q65620896,Q125191,Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.93826/-43.12965,62.72937U11573,-85.30188U28390,87.95008U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx055-06,Q172984||Q35158,50.0U28390,300U174728,240U174728,70987
Q65620898,Q125191,"Largo do Machado, Igreja Nossa Senhora da Glória e ao fundo o Pão de Açúcar",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1885-01-01T00:00:00Z/8,1880-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.92889/-43.18226,108.12903U11573,122.36439U28390,86.61945U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx055-07,Q904614||Q35158,47.96U28390,300U174728,240U174728,70988
Q65620899,Q125191,"Vista do Cais Pharoux, Morro do Castelo ao fundo",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.90045/-43.17151,4.52761U11573,-162.53306U28390,95.02348U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx055-08,Q172984||Q35158,44.12U28390,300U174728,240U174728,70989
Q65620900,Q125191,"Vista do Cais Pharoux, Igreja da Candelária e Arsenal da Marinha",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.89704/-43.17578,12.30094U11573,-162.13627U28390,92.40743U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx055-09,Q172984||Q35158,43.01U28390,300U174728,240U174728,71087
Q65620901,Q125191,Entrada da Baía de Guanabara e Pão de Açúcar,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.94125/-43.11551,14.53371U11573,-109.9611U28390,86.219U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx055-11,Q172984||Q35158,39.77U28390,300U174728,240U174728,70991
Q65620903,Q125191,Escola Nacional de Belas Artes,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1910-01-01T00:00:00Z/8,1908-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.90985/-43.1763,8.53327U11573,16.99413U28390,99.69675U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx056a-03,Q172984||Q35158,43.0U28390,300U174728,240U174728,71006
Q65620904,Q125191,Escola Nacional de Belas Artes,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1910-01-01T00:00:00Z/8,1908-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.90971/-43.17624,10.15767U11573,15.83151U28390,98.45706U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx056a-04,Q172984||Q35158,52.78U28390,300U174728,240U174728,71007
Q65620906,Q125191,Escola Nacional de Belas Artes,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1910-01-01T00:00:00Z/8,1908-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.90958/-43.17625,9.82002U11573,18.71284U28390,102.4497U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx056a-05,Q172984||Q35158,60.24U28390,300U174728,240U174728,71008
Q65620907,Q125191,Escola Nacional de Belas Artes,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1910-01-01T00:00:00Z/8,1908-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.9085/-43.17653,12.68833U11573,114.70814U28390,102.29791U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx056a-06,Q172984||Q35158,58.18U28390,300U174728,240U174728,71009
Q65620910,Q125191,Escola Nacional de Belas Artes,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1911-01-01T00:00:00Z/8,1910-01-01T00:00:00Z/9,1916-01-01T00:00:00Z/9,Q155,@-22.90846/-43.17654,14.06059U11573,122.29204U28390,100.84058U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx056a-09,Q172984||Q35158,60.0U28390,300U174728,240U174728,71012
Q65620918,Q125191,"Avenida Central; à direita, Biblioteca Nacional e Escola Nacional de Belas Artes",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1908-01-01T00:00:00Z/8,1906-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.91057/-43.17565,10.48543U11573,-2.96127U28390,95.45657U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx056b-06,Q172984||Q35158,54.55U28390,300U174728,240U174728,90826
Q65620920,Q125191,Vista do Canal do Mangue,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1900-01-01T00:00:00Z/8,1895-01-01T00:00:00Z/9,1902-01-01T00:00:00Z/9,Q155,@-22.90826/-43.20071,8.15886U11573,-110.7918U28390,98.57529U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-03,Q172984||Q35158,44.96U28390,300U174728,240U174728,75363
Q65620921,Q125191,Porto do Rio de Janeiro,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.89763/-43.21082,8.48726U11573,91.01373U28390,89.36943U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-04,Q172984||Q35158,45.42U28390,300U174728,240U174728,75364
Q65620922,Q125191,"Estrada de Ferro do Corcovado, Estação do Cosme Velho, Km 0",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1884-01-01T00:00:00Z/9,1884-01-01T00:00:00Z/9,1890-01-01T00:00:00Z/9,Q155,@-22.94036/-43.19822,46.34991U11573,-128.63994U28390,99.09572U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-05,Q172984||Q35158,46.01U28390,300U174728,240U174728,75365
Q65620926,Q125191,Vista do Largo da Carioca com o convento de Santo Antônio ao fundo,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.90693/-43.17787,23.07253U11573,-65.79348U28390,90.17449U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-09,Q172984||Q35158,50.22U28390,300U174728,240U174728,75367
Q65620927,Q125191,"Bairro da Glória, ao fundo a Igreja de Nossa Senhora da Glória do Outeiro",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.91968/-43.17658,11.30692U11573,141.78485U28390,92.99924U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-10,Q172984||Q35158,50.57U28390,300U174728,240U174728,75368
Q65620928,Q125191,Igreja de Nossa Senhora do Carmo da Lapa do Desterro e o Grande Hotel,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1905-01-01T00:00:00Z/8,1900-01-01T00:00:00Z/9,1910-01-01T00:00:00Z/9,Q155,@-22.91379/-43.17798,11.70771U11573,-171.34653U28390,96.61U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-11,Q172984||Q35158,60.31U28390,300U174728,240U174728,75369
Q65620929,Q125191,"Vista do Largo da Carioca; destaque para a presença do Chafariz de 35 bicas e do Hotel Avenida, ao fundo",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1912-01-01T00:00:00Z/8,1910-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.90639/-43.1789,16.20891U11573,127.04422U28390,87.2208U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-12,Q172984||Q35158,50.12U28390,300U174728,240U174728,75370
Q65620930,Q125191,Cais do Porto,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.8977/-43.21044,10.06077U11573,86.69675U28390,86.64871U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-13,Q172984||Q35158,40.46U28390,300U174728,240U174728,75371
Q65620931,Q125191,Porto do Rio de Janeiro,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1907-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1912-01-01T00:00:00Z/9,Q155,@-22.89679/-43.20716,9.65973U11573,-109.88214U28390,98.4772U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx058-14,Q172984||Q35158,50.44U28390,300U174728,240U174728,75372
Q65620932,Q125191,Viaduto do Silvestre,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1889-01-01T00:00:00Z/8,1884-01-01T00:00:00Z/9,1894-01-01T00:00:00Z/9,Q155,@-22.94618/-43.20521,216.44792U11573,60.07069U28390,87.02976U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx063-04,Q172984||Q35158,50.0U28390,300U174728,240U174728,82899
Q65620933,Q125191,"Praia de Botafogo, vendo-se o Morro da Viúva",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1908-01-01T00:00:00Z/8,1907-01-01T00:00:00Z/9,1912-01-01T00:00:00Z/9,Q155,@-22.94332/-43.18229,37.68261U11573,74.65404U28390,85.65515U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-01,Q172984||Q35158,53.26U28390,300U174728,240U174728,71066
Q65620934,Q125191,"Praia de Botafogo, vendo-se o Morro da Viúva e o Corcovado ao fundo",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1908-01-01T00:00:00Z/8,1907-01-01T00:00:00Z/9,1913-01-01T00:00:00Z/9,Q155,@-22.9433/-43.18227,35.65732U11573,84.35452U28390,92.24451U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-03,Q172984||Q35158,51.49U28390,300U174728,240U174728,71068
Q65620935,Q125191,Praia de Copacabana,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.97375/-43.18967,34.61321U11573,175.7856U28390,87.03128U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-04,Q172984||Q35158,49.99U28390,300U174728,240U174728,71069
Q65620936,Q125191,Praia de Ipanema,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1895-01-01T00:00:00Z/8,1890-01-01T00:00:00Z/9,1900-01-01T00:00:00Z/9,Q155,@-22.98914/-43.19154,8.19651U11573,-97.26185U28390,89.34047U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-05,Q172984||Q35158,42.99U28390,300U174728,240U174728,88724
Q65620937,Q125191,Praia de Ipanema a partir do Arpoador,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1895-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.98912/-43.19148,9.76882U11573,-93.16151U28390,89.79145U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-06,Q172984||Q35158,44.65U28390,300U174728,240U174728,71070
Q65620938,Q125191,Praia de Ipanema a partir do Arpoador,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1895-01-01T00:00:00Z/8,1890-01-01T00:00:00Z/9,1900-01-01T00:00:00Z/9,Q155,@-22.98994/-43.19098,-4.35794U11573,-97.81971U28390,88.78U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-07,Q172984||Q35158,43.55U28390,300U174728,240U174728,71085
Q65620939,Q125191,Praia de Botafogo,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1900-01-01T00:00:00Z/8,1895-01-01T00:00:00Z/9,1905-01-01T00:00:00Z/9,Q155,@-22.94213/-43.17567,53.0938U11573,-98.13569U28390,89.10491U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx066-09,Q172984||Q35158,63.0U28390,300U174728,240U174728,75392
Q65620944,Q125191,"Praça XV de Novembro; chafariz do mestre Valentim e, ao fundo, a estação das barcas",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1903-01-01T00:00:00Z/8,1898-01-01T00:00:00Z/9,1908-01-01T00:00:00Z/9,Q155,@-22.90282/-43.17477,17.78345U11573,85.90569U28390,87.09425U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx067-04,Q172984||Q35158,50.0U28390,300U174728,240U174728,82896
Q65620946,Q125191,"Cais Pharoux e, ao fundo, o Mercado da Praia do Peixe",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1880-01-01T00:00:00Z/8,1875-01-01T00:00:00Z/9,1885-01-01T00:00:00Z/9,Q155,@-22.90346/-43.17065,14.51775U11573,-63.63807U28390,91.91677U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx067-05,Q172984||Q35158,50.0U28390,300U174728,240U174728,82897
Q65620949,Q125191,Jardim do Palácio do Catete - chafariz com escultura,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1890-01-01T00:00:00Z/8,1885-01-01T00:00:00Z/9,1895-01-01T00:00:00Z/9,Q155,@-22.9258/-43.1745,9.20167U11573,125.8601U28390,89.51786U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx069-06,Q172984||Q35158,50.0U28390,300U174728,240U174728,75380
Q65620957,Q125191,"Museu Nacional, antigo Palácio Imperial de São Cristóvão",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1884-01-01T00:00:00Z/8,1879-01-01T00:00:00Z/9,1889-01-01T00:00:00Z/9,Q155,@-22.90336/-43.2236,63.39455U11573,-136.46671U28390,91.38366U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx097-12,Q904614||Q35158,41.52U28390,300U174728,240U174728,75361
Q65620959,Q125191,Vista do bairro da Glória,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1906-01-01T00:00:00Z/8,1901-01-01T00:00:00Z/9,1911-01-01T00:00:00Z/9,Q155,@-22.91904/-43.17729,49.73709U11573,130.26102U28390,85.32207U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cx098-09,Q172984||Q35158,45.54U28390,300U174728,240U174728,75353
Q65620961,Q125191,"Largo da Carioca, com chafariz de 35 bicas",Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1900-01-01T00:00:00Z/8,1895-01-01T00:00:00Z/9,1905-01-01T00:00:00Z/9,Q155,@-22.9066/-43.17814,19.59256U11573,-153.744U28390,87.24852U28390,Q3180571,Q85621807||Q35158,Q71989864,0072430cxabastagua2-12,Q172984||Q35158,30.05U28390,300U174728,240U174728,82662
Q65620970,Q125191,"Ruínas do morro do Castelo; à esquerda, parte do aterro feito com a terra retirada do morro; à direta, Biblioteca Nacional",Fotografia de Augusto Malta,Photograph by Augusto Malta,1922-10-09T00:00:00Z/11,1922-01-01T00:00:00Z/9,1922-01-01T00:00:00Z/9,Q155,@-22.90884/-43.17297,77.5408U11573,-150.08901U28390,83.7U28390,Q16495239,Q56055236||Q35158,Q71989864,007A5P3F10-036,Q172984||Q35158,42.2168U28390,230U174728,168U174728,6845
