qid,P31,Lpt-br,Dpt-br,P571,P17,P1259,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,,Ilha das Cobras,Fotografia de Anônimo,,Q155,-22.896853/-43.166873,Q4233718,Q11472,Q71989864,001AN01002074,Q172984,45.0 degree,9.8 centimetre,7.3 centimetre,80403
,,Ilha das Cobras,Fotografia de Anônimo,,Q155,-22.896159/-43.166867,Q4233718,Q11472,Q71989864,001AN01002075,Q172984,50.0 degree,9.8 centimetre,7.3 centimetre,80404
,,Ilha das Cobras,Fotografia de Anônimo,,Q155,-22.897002/-43.16638,Q4233718,Q11472,Q71989864,001AN01002076,Q172984,45.0 degree,9.8 centimetre,7.3 centimetre,80405
,,Ilha das Cobras,Fotografia de Anônimo,,Q155,-22.896978/-43.166438,Q4233718,Q11472,Q71989864,001AN01002077,Q172984,28.2 degree,9.8 centimetre,7.3 centimetre,80406
,,Ilha das Cobras,Fotografia de Anônimo,,Q155,-22.896992/-43.166316,Q4233718,Q11472,Q71989864,001AN01002078,Q172984,43.2 degree,9.8 centimetre,7.3 centimetre,80407
,,"Fonte Adriano Ramos Pinto, no Jardim da Glória",Fotografia de Anônimo,,Q155,-22.920658/-43.176158,Q4233718,Q11472,Q71989864,001AN02001004,Q172984,49.4 degree,13.4 centimetre,6.5 centimetre,80408
,,Avenida Central,Fotografia de Anônimo,,Q155,-22.898136/-43.180343,Q4233718,Q11472,Q71989864,001AN02001005,Q172984,50.2 degree,13.4 centimetre,6.5 centimetre,80409
,,"Largo da Glória, monumento a Pedro Álvares Cabral ao fundo",Fotografia de Anônimo,,Q155,-22.919847/-43.176414,Q4233718,Q11472,Q71989864,001AN29001003,Q172984,45.2 degree,13.9 centimetre,9.0 centimetre,80411
,,Escola Militar,Fotografia de Anônimo,,Q155,-22.957388/-43.160786,Q4233718,Q11472,Q71989864,001AN29001004,Q172984,38.6 degree,13.9 centimetre,9.0 centimetre,80412
,,Vista aérea a partir do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.952671/-43.165633,Q4233718,Q11472,Q71989864,001AN31001002,Q172984,40.4 degree,13.4 centimetre,8.4 centimetre,80415
,,Avenida Rio Branco,Fotografia de Anônimo,,Q155,-22.907765/-43.17645200000001,Q4233718,Q11472,Q71989864,001AN32001,Q172984,7.8 degree,8.1 centimetre,12.8 centimetre,80416
,,"Estação Central do Brasil, antiga Dom Pedro II",Fotografia de F. Basto,,Q155,-22.903619/-43.190544,Q55089601,Q11472,Q71989864,001BA003001,Q580807,40.8 degree,15.1 centimetre,7.9 centimetre,80417
,,Enseada de Botafogo visto do morro do Corcovado,Fotografia de Anônimo,,Q155,-22.951908/-43.210071,Q4233718,Q11472,Q71989864,001BO001001,COLOTIPIA/ Pigmento,42.2 degree,13.7 centimetre,8.9 centimetre,80418
,,"Desembarque do general Julio Roca, presidente da Argentina, no cais do Arsenal da Marinha",Fotografia de Marc Ferrez,1899-08-08,Q155,-22.898212/-43.17628,Q3180571,Q11472,Q71989864,001CC001024,,40.4 degree,,,80420
,,Chegada do presidente argentino ao Palácio do Catete,Fotografia de Anônimo,1899-08-09,Q155,-22.925942000000006/-43.176798,Q4233718,Q11472,Q71989864,001CC001027,,39.8 degree,,,80462
,,"O presidente Julio Roca, da Argentina, e presidente Campos Sales, do Brasil, em visita ao Jardim Botânico",Fotografia de Anônimo,1899-08-11,Q155,-22.968359/-43.224613,Q4233718,Q11472,Q71989864,001CC001032,,36.4 degree,,,80421
,,Forte do Imbuí,Fotografia de Bloch,1906-01-01,Q155,-22.950997/-43.113086,Q61041099,Q11472,Q71989864,001CC002,,50.0 degree,16.5 centimetre,11.5 centimetre,80440
,,Monumento em homenagem ao Almirante Barroso,Fotografia de Anônimo,,Q155,-22.9237/-43.17247,Q4233718,Q11472,Q71989864,001CC007014,,50.0 degree,,,80422
,,Exposição Internacional de 1922: dois pavilhões em obras,Fotografia de J. Teixeira,,Q155,-22.905288/-43.170146,Q89642578,Q11472,Q71989864,001CC008005,,55.8 degree,15.2 centimetre,11.5 centimetre,80441
,,Saída do cortejo fúnebre de Rui Barbosa,Fotografia de Anônimo,1923-03-03,Q155,-22.90988/-43.175731,Q4233718,Q11472,Q71989864,001CC008007,,50.0 degree,,,80423
,,Exposição Internacional de 1922: pavilhão Francês,Fotografia de Anônimo,1922-01-01,Q155,-22.896069/-43.183593,Q4233718,Q11472,Q71989864,001CC015001,,60.0 degree,15.8 centimetre,12.5 centimetre,80442
,,Exposição Internacional de 1922: marinheiros do Nevada,Fotografia de Anônimo,,Q155,-22.906205/-43.16881400000001,Q4233718,Q11472,Q71989864,001CC015002,,59.8 degree,,,80424
,,Exposição Internacional de 1922: vista geral exposição à noite,Fotografia de Anônimo,1922-01-01,Q155,-22.906151/-43.168306,Q4233718,Q11472,Q71989864,001CC015003,,50.0 degree,17.5 centimetre,12.2 centimetre,80443
,,Exposição Internacional de 1922: pavilhão Britânico,Fotografia de Anônimo,1922-01-01,Q155,-22.910938/-43.172844,Q4233718,Q11472,Q71989864,001CC015005,,50.0 degree,17.2 centimetre,12 centimetre,80444
,,Exposição Internacional de 1922: pavilhão americano,Fotografia de J. Teixeira,,Q155,-22.911961/-43.173838,Q89642578,Q11472,Q71989864,001CC016001,,50.0 degree,16.3 centimetre,11.5 centimetre,80445
,,Exposição Internacional de 1922: pavilhão F. Matarazzo,Fotografia de Anônimo,1922-01-01,Q155,-22.91005/-43.172269,Q4233718,Q11472,Q71989864,001CC016002,,50.0 degree,10.2 centimetre,14.3 centimetre,80446
,,Exposição Internacional de 1922: palácio das Festas,Fotografia de Anônimo,1922-01-01,Q155,-22.907519/-43.168672,Q4233718,Q11472,Q71989864,001CC016003,,50.0 degree,16.8 centimetre,10.8 centimetre,80447
,,Exposição Internacional de 1922: pavilhão Sueco,Fotografia de Anônimo,,Q155,-22.910895/-43.172842,Q4233718,Q11472,Q71989864,001CC017001,,50.0 degree,9.2 centimetre,12.0 centimetre,80448
,,Exposição Internacional de 1922: Hotel 7 de Setembro,Fotografia de Anônimo,1922-01-01,Q155,-22.942102/-43.173638,Q4233718,Q11472,Q71989864,001CC017002,,36.2 degree,9.4 centimetre,12.2 centimetre,80449
,,Exposição Internacional de 1922: pavilhão de Festas em obras,Fotografia de Anônimo,,Q155,-22.90663/-43.169389,Q4233718,Q11472,Q71989864,001CC018,,44.8 degree,22.9 centimetre,14.5 centimetre,80450
,,Obras para Exposição Internacional de 1922,Fotografia de Anônimo,,Q155,-22.913063/-43.173873,Q4233718,Q11472,Q71989864,001CC019001,,50.0 degree,,,80425
,,Transporte de Canhão para área da Exposição Internacional de 1922,Fotografia de Anônimo,1922-01-01,Q155,-22.913078/-43.174868,Q4233718,Q11472,Q71989864,001CC019002,,39.8 degree,,,80426
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,,Q155,-22.911638/-43.1734,Q4233718,Q11472,Q71989864,001CC019005,,50.0 degree,21.4 centimetre,15.1 centimetre,80451
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,,Q155,-22.908306/-43.170357,Q4233718,Q11472,Q71989864,001CC019007,,50.0 degree,15.0 centimetre,21.4 centimetre,80452
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,,Q155,-22.905628/-43.16900800000001,Q4233718,Q11472,Q71989864,001CC019008,,50.0 degree,21.4 centimetre,15.1 centimetre,80453
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,,Q155,-22.905524/-43.169356,Q4233718,Q11472,Q71989864,001CC019010,,50.0 degree,15.0 centimetre,21.3 centimetre,80454
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,,Q155,-22.905187/-43.171574,Q4233718,Q11472,Q71989864,001CC019011,,38.8 degree,15.1 centimetre,21.4 centimetre,80455
,,Exposição Internacional de 1922: pavilhão da Administração em obras,Fotografia de Anônimo,,Q155,-22.905396/-43.170811,Q4233718,Q11472,Q71989864,001CC019012,,50.0 degree,21.4 centimetre,15.1 centimetre,80456
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,,Q155,-22.905545/-43.170848,Q4233718,Q11472,Q71989864,001CC019013,,50.0 degree,21.4 centimetre,15.1 centimetre,80457
,,Exposição Internacional de 1922: pavilhões em obras,Fotografia de Anônimo,1922-01-01,Q155,-22.90605/-43.16947,Q4233718,Q11472,Q71989864,001CC019014,,60.0 degree,15 centimetre,21.4 centimetre,80458
,,Exposição Nacional de 1908: Pavilhão da Indústria Nacional em destaque,Fotografia de Anônimo,1908-01-01,Q155,-22.953557/-43.166118,Q4233718,Q11472,Q71989864,001CC020001,,45.0 degree,17.3 centimetre,12.6 centimetre,80459
,,Exposição Nacional de 1908: vista geral da exposição,Fotografia de Anônimo,1908-01-01,Q155,-22.953274/-43.166004,Q4233718,Q11472,Q71989864,001CC020002,,45.0 degree,17.1 centimetre,12.6 centimetre,80460
,,Exposição Nacional de 1908: parte do pavilhão da Bahia,Fotografia de Anônimo,1908-01-01,Q155,-22.954456/-43.168972,Q4233718,Q11472,Q71989864,001CC021,,50.0 degree,12.6 centimetre,17.5 centimetre,80461
,,"Mirante Chapéu do Sol, no Corcovado",Fotografia de Anônimo,,Q155,-22.951988/-43.210972,Q4233718,Q11472,Q71989864,001CC023002,,40.2 degree,,,80427
,,Visitantes no mirante do Corcovado,,1905-01-01,Q155,-22.95186/-43.210102,,Q11472,Q71989864,001CC023003,,50.0 degree,,,80428
,,Quinta da Boa Vista,Fotografia de Anônimo,1912-01-01,Q155,-22.904179/-43.222176,Q4233718,Q11472,Q71989864,001CE001,MEIO-TOM/ Pigmento,50.0 degree,12.3 centimetre,8.0 centimetre,80429
,,Chafariz da Carioca,Fotografia de José Francisco Corrêa,,Q155,-22.906925/-43.178062,Q10309433,Q11472,Q71989864,001CO001002,Q172984,50.0 degree,13.4 centimetre,6.5 centimetre,80430
,,"Vista do bairro de São Cristóvão, com destaque para o Hospital dos Lázaros",Fotografia de José Francisco Corrêa,,Q155,-22.902118/-43.212846,Q10309433,Q11472,Q71989864,001CO001004,Q172984,38.4 degree,13.5 centimetre,6.5 centimetre,80431
,,Monumento em homenagem a Pedro Álvares Cabral,Fotografia de José Francisco Corrêa,,Q155,-22.920447/-43.176162,Q10309433,Q11472,Q71989864,001CO001005,Q172984,40.6 degree,13.5 centimetre,6.5 centimetre,80432
,,"Avenida Beira-Mar, a partir da Avenida Central",Fotografia de F. Manzière,,Q155,-22.912195/-43.174882,Q65619915,Q11472,Q71989864,001FM001001,COLÓDIO/ Prata,59.6 degree,13.8 centimetre,8.9 centimetre,80433
,,Pedra do Índio,Fotografia de F. Manzière,,Q155,-22.90549/-43.120167,Q65619915,Q11472,Q71989864,001FM001002,COLÓDIO/ Prata,36.4 degree,13.8 centimetre,8.9 centimetre,80434
,,Ilha das Cobras,Fotografia de F. Manzière,,Q155,-22.897/-43.177546,Q65619915,Q11472,Q71989864,001FM001003,COLÓDIO/ Prata,37.6 degree,13.8 centimetre,8.9 centimetre,80435
,,Enseada de Botafogo vista do morro Nova Cintra,Fotografia de Juan Gutierrez,,Q155,-22.933678/-43.197008,Q10312614,Q11472,Q71989864,001GU001001,Q580807,50.0 degree,27.0 centimetre,21.0 centimetre,80436
,,Pão de Açúcar e Morro do Pasmado,Fotografia de Juan Gutierrez,,Q155,-22.951169/-43.177626,Q10312614,Q11472,Q71989864,001GU001002,Q580807,42.8 degree,27.1 centimetre,19.4 centimetre,80437
,,Panorama do Rio a partir de Santa Teresa,Fotografia de Juan Gutierrez,,Q155,-22.921991/-43.188107,Q10312614,Q11472,Q71989864,001GU001003,Q580807,50.0 degree,27.0 centimetre,21.0 centimetre,80438
,,"Vista do Catete a partir do Outeiro da Glória, ao fundo o morro do Corcovado",Fotografia de Juan Gutierrez,,Q155,-22.923165/-43.175428,Q10312614,Q11472,Q71989864,001GU001005,Q580807,49.2 degree,27.0 centimetre,21.0 centimetre,80439
,,"Morro do Castelo, em primeiro plano, Santa Teresa e Glória, ao fundo",Fotografia de Juan Gutierrez,,Q155,-22.906872/-43.172667,Q10312614,Q11472,Q71989864,001GU001010,Q580807,59.8 degree,27.0 centimetre,21.0 centimetre,18321
,,"Morro do Castelo e rua Primeiro de Março, vistos da igreja do Carmo",Fotografia de Juan Gutierrez,,Q155,-22.903128/-43.175445,Q10312614,Q11472,Q71989864,001GU001012,Q580807,50.0 degree,27.0 centimetre,21.0 centimetre,18264
,,"Praia da Lapa, hoje região do Passeio Público, e Outeiro da Glória",Fotografia de Juan Gutierrez,,Q155,-22.908764/-43.172824,Q10312614,Q11472,Q71989864,001GU001013,Q580807,62.2 degree,27.0 centimetre,21.0 centimetre,18263
,,"Docas, porto e Ilha das Cobras, vistos do Arsenal",Fotografia de Juan Gutierrez,,Q155,-22.902957/-43.17264,Q10312614,Q11472,Q71989864,001GU001019,Q580807,45.6 degree,27.0 centimetre,21.0 centimetre,18322
,,Mercado Central,Fotografia de Juan Gutierrez,,Q155,-22.901351/-43.173324,Q10312614,Q11472,Q71989864,001GU001021,Q580807,57.6 degree,27.2 centimetre,19.3 centimetre,79155
,,"Gamboa e Morro do Livramento, ao fundo",Fotografia de Juan Gutierrez,,Q155,-22.894374/-43.19312100000001,Q10312614,Q11472,Q71989864,001GU001025,Q580807,50.0 degree,27.3 centimetre,19.6 centimetre,18323
,,Estação das Laranjeiras,Fotografia de Juan Gutierrez,,Q155,-22.941763/-43.198722,Q10312614,Q11472,Q71989864,001GU001029,Q580807,50.0 degree,27.0 centimetre,18.7 centimetre,79099
,,Estação das Paineiras - Estrada de Ferro Corcovado,Fotografia de Juan Gutierrez,,Q155,-22.946975/-43.217452,Q10312614,Q11472,Q71989864,001GU001031,Q580807,50.0 degree,27.0 centimetre,19.6 centimetre,18324
,,Aléia frontal de palmeiras do Jardim Botanico.,Fotografia de Juan Gutierrez,,Q155,-22.969504/-43.22193,Q10312614,Q11472,Q71989864,001GU001033,Q580807,35.4 degree,21.3 centimetre,25.5 centimetre,18325
,,Teatro São Pedro,Fotografia de Marc Ferrez,,Q155,-22.906791/-43.18193400000001,Q3180571,Q11472,Q71989864,001MF003002,Q580807,35.2 degree,7.8 centimetre,5.2 centimetre,79101
,,Ilha de Villegaignon,Fotografia de Marc Ferrez,,Q155,-22.908617/-43.17276,Q3180571,Q11472,Q71989864,001MF003007,Q580807,28.4 degree,8.7 centimetre,5.3 centimetre,79102
,,Ilha das Flores,Fotografia de Marc Ferrez,,Q155,-22.847192/-43.104315,Q3180571,Q11472,Q71989864,001MF012003,Q580807,50.0 degree,34.6 centimetre,15.8 centimetre,79297
,,Avenida Central,Fotografia de Augusto Malta,1906-02-20,Q155,-22.906562/-43.177032,Q16495239,Q11472,Q71989864,001RR005,COLOTIPIA/ Pigmento,50.2 degree,14 centimetre,8.5 centimetre,77553
,,O bairro do Catete e o Pão de Açucar,Fotografia de Augusto Stahl,,Q155,-22.918285/-43.181296,Q4821327,Q11472,Q71989864,001SW001001,Q580807,44.2 degree,24.5 centimetre,19.4 centimetre,17199
,,Mercado da Glória,Fotografia de Augusto Stahl,,Q155,-22.914399/-43.176048,Q4821327,Q11472,Q71989864,001SW001003,Q580807,31.0 degree,26.1 centimetre,20.3 centimetre,17201
,,Demolição do Morro do Castelo para a construção da avenida Central,Fotografia de Torres,1904-01-01,Q155,-22.909339000000006/-43.176157,Q65619905,Q11472,Q71989864,002008OBAC008,Q172984,50.0 degree,24.0 centimetre,16.0 centimetre,18244
,,Demolição do Morro do Castelo,Fotografia de Torres,1904-01-01,Q155,-22.909955/-43.176029,Q65619905,Q11472,Q71989864,002008OBAC010,Q172984,50.0 degree,24.0 centimetre,16.0 centimetre,18245
,,Vista noturna do Pavilhão de Caça e Pesca da Exposição Internacional do Centenário da Independência do Brasil,Fotografia de Augusto Malta,1922-01-01,Q155,-22.905196/-43.168413,Q16495239,Q11472,Q71989864,002051AM001001,Q172984,50.0 degree,22.7 centimetre,16.9 centimetre,63800
,,"Vista do Pavilhão da Itália, integrante da Exposição Internacional do Centenário da Independência do Brasil",Fotografia de Augusto Malta,1922-01-01,Q155,-22.910289/-43.171867,Q16495239,Q11472,Q71989864,002051AM001003,Q172984,50.0 degree,22.7 centimetre,17.2 centimetre,63801
,,Vista da Exposição Internacional do Centenário da Independência do Brasil,Fotografia de Augusto Malta,1922-01-01,Q155,-22.908156/-43.170373,Q16495239,Q11472,Q71989864,002051AM001004,Q172984,60.2 degree,22.9 centimetre,16.9 centimetre,63802
,,Vista parcial da Exposição Internacional do Centenário da Independência do Brasil,Fotografia de Augusto Malta,1922-01-01,Q155,-22.904722/-43.169202,Q16495239,Q11472,Q71989864,002051AM001005,Q172984,60.2 degree,22.8 centimetre,17.2 centimetre,63803
,,"Praça XV de novembro e arredores vistos do alto do morro do Castelo, ao fundo, Ilha das Cobras e ponte Almirante Alexandrino",Fotografia de Augusto Malta,,Q155,-22.90682/-43.174653,Q16495239,Q11472,Q71989864,002051AM002002,Q172984,45.2 degree,23 centimetre,16.8 centimetre,63804
,,"Vista aérea do Rio de Janeiro, tomada do interior do Graf Zepellin",Fotografia de Anônimo,,Q155,-22.924599/-43.186036,Q4233718,Q11472,Q71989864,002051AN009,,43.4 degree,13.8 centimetre,8.7 centimetre,63733
,,"Vista aérea de Copacabana, no Rio de Janeiro, tomada do interior do Graf Zepellin",Fotografia de Anônimo,,Q155,-22.985934/-43.196578,Q4233718,Q11472,Q71989864,002051AN010,,50.6 degree,13.7 centimetre,8.7 centimetre,63734
,,"Pedra do Arpoador e trilho de bonde, tomados das cercanias da residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francisco Otaviano.",Fotografia de José Baptista Barreira Vianna,1902-01-01,Q155,-22.988105/-43.194296,Q63166517,Q11472,Q71989864,002054VIAN004,Q172984,50.0 degree,,,18203
,,"Residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francsico Otaviano. Ilhas Cagarras ao fundo.",Fotografia de José Baptista Barreira Vianna,1903-01-01,Q155,-22.98723/-43.19484600000001,Q63166517,Q11472,Q71989864,002054VIAN012,Q172984,33.4 degree,,,18205
,,"Residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francisco Otaviano. Ilhas Cagarras ao fundo.",Fotografia de José Baptista Barreira Vianna,1903-01-01,Q155,-22.987486/-43.194592,Q63166517,Q11472,Q71989864,002054VIAN014,Q172984,43.8 degree,,,18206
,,"Residência da família Barreira Vianna, em Ipanema na esquina da avenida Vieira Souto e rua Francisco Otaviano. Pão de Açúcar e praia de Copacabana ao fundo.",Fotografia de José Baptista Barreira Vianna,,Q155,-22.987661/-43.195797,Q63166517,Q11472,Q71989864,002054VIAN031,Q172984,40.4 degree,,,18209
,,Bonde nas proximidades da pedra do Arpoador,Fotografia de José Baptista Barreira Vianna,,Q155,-22.987748/-43.194789,Q63166517,Q11472,Q71989864,002054VIAN040,Q172984,35.2 degree,,,18212
,,"Igreja de Santa Luzia, è direita, e Igreja de São Sebastião, no alto do morro do Castelo",Fotografia de Guilherme Santos,1915-01-01,Q155,-22.910247/-43.172493,Q55088608,Q11469,Q71989864,002080BR0206,Q172984,50.0 degree,11 centimetre,4.5 centimetre,16551
,,Largo do Machado,Fotografia de Guilherme Santos,1917-01-01,Q155,-22.930677/-43.178326,Q55088608,Q11469,Q71989864,002080BR0207,Q172984,45.0 degree,11 centimetre,4.5 centimetre,16552
,,Desfile de corsos durante o carnaval,Fotografia de Guilherme Santos,,Q155,-22.904619/-43.177898,Q55088608,Q11469,Q71989864,002080RJ2807,Q172984,45.0 degree,11 centimetre,4.5 centimetre,18174
,,Carnaval,Fotografia de Guilherme Santos,1932-01-01,Q155,-22.903526/-43.179237,Q55088608,Q11469,Q71989864,002080RJ2815,Q172984,45.0 degree,11 centimetre,4.5 centimetre,18175
,,Vista do Pão de Açúcar a partir da Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,,Q155,-22.938539/-43.132636,Q3180571,Q11469,Q71989864,0071824cx001-01,Q172984,40.2 degree,24.0 centimetre,18.0 centimetre,66439
,,"Entrada da Baía de Guanabara, Pão de Açúcar",Fotografia de Marc Ferrez,,Q155,-22.935165/-43.126459,Q3180571,Q11469,Q71989864,0071824cx001-02,Q172984,34.8 degree,24.0 centimetre,18.0 centimetre,66547
,,"Largo da Carioca, chafariz com 35 bicas",Fotografia de Marc Ferrez,,Q155,-22.906622/-43.178745,Q3180571,Q11469,Q71989864,0071824cx001-04,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66440
,,Vista da Praia de Santa Luzia,Fotografia de Marc Ferrez,,Q155,-22.905875/-43.167735,Q3180571,Q11469,Q71989864,0071824cx001-05,Q172984,46.4 degree,24.0 centimetre,18.0 centimetre,66441
,,"Rua Primeiro de Março, Convento do Carmo e Igreja de Nossa Senhora do Carmo à esquerda",Fotografia de Marc Ferrez,,Q155,-22.903709/-43.174717,Q3180571,Q11469,Q71989864,0071824cx001-06,Q172984,53.2 degree,18.0 centimetre,24.0 centimetre,16041
,,Pão de Açúcar visto de Niterói,Fotografia de Marc Ferrez,,Q155,-22.933761/-43.148829,Q3180571,Q11469,Q71989864,0071824cx001-08,Q172984,47.4 degree,24.0 centimetre,18.0 centimetre,66443
,,Pão de Açúcar visto de Niterói,Fotografia de Marc Ferrez,,Q155,-22.937941/-43.134925,Q3180571,Q11469,Q71989864,0071824cx001-09,Q172984,42.0 degree,24.0 centimetre,18.0 centimetre,66444
,,Vista do Pão de Açúcar a partir da Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,,Q155,-22.934488/-43.122602,Q3180571,Q11469,Q71989864,0071824cx001-10,Q172984,41.6 degree,24.0 centimetre,18.0 centimetre,66445
,,Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,,Q155,-22.938849/-43.139604,Q3180571,Q11469,Q71989864,0071824cx001-11,Q172984,39.2 degree,24.0 centimetre,18.0 centimetre,66446
,,Vista da Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,,Q155,-22.938271/-43.13025,Q3180571,Q11469,Q71989864,0071824cx001-13,Q172984,46.6 degree,24.0 centimetre,18.0 centimetre,66448
,,Vista do Pão de Açúcar a partir da Fortaleza de Santa Cruz,Fotografia de Marc Ferrez,,Q155,-22.936745/-43.124754,Q3180571,Q11469,Q71989864,0071824cx001-14,Q172984,43.2 degree,24.0 centimetre,18.0 centimetre,66548
,,Pão de Açúcar visto de Niterói,Fotografia de Marc Ferrez,,Q155,-22.934765/-43.147381,Q3180571,Q11469,Q71989864,0071824cx001-15,Q172984,54.8 degree,24.0 centimetre,18.0 centimetre,66534
,,Igreja de Nossa Senhora da Glória,Fotografia de Marc Ferrez,,Q155,-22.930601/-43.179244,Q3180571,Q11469,Q71989864,0071824cx003a-04,Q172984,52.6 degree,18.0 centimetre,24.0 centimetre,66449
,,Igreja de São Joaquim,Fotografia de Marc Ferrez,,Q155,-22.901975/-43.184609,Q3180571,Q11469,Q71989864,0071824cx003a-05,Q172984,60.0 degree,18.0 centimetre,24.0 centimetre,66450
,,Igreja de Nossa Senhora da Glória,Fotografia de Marc Ferrez,,Q155,-22.930645/-43.179279,Q3180571,Q11469,Q71989864,0071824cx003a-06,Q172984,49.4 degree,18.0 centimetre,24.0 centimetre,66451
,,Igreja São Francisco de Paula,Fotografia de Marc Ferrez,,Q155,-22.904817/-43.180948,Q3180571,Q11469,Q71989864,0071824cx003a-09,Q172984,40.8 degree,18.0 centimetre,24.0 centimetre,66452
,,Ilha Fiscal,Fotografia de Marc Ferrez,,Q155,-22.8985/-43.164715,Q3180571,Q11469,Q71989864,0071824cx004-01,Q172984,45.0 degree,24.0 centimetre,18.0 centimetre,66453
,,Ilha Fiscal,Fotografia de Marc Ferrez,,Q155,-22.899054/-43.164968,Q3180571,Q11469,Q71989864,0071824cx004-02,Q172984,45.0 degree,24.0 centimetre,18.0 centimetre,66454
,,"Monumento a D. Pedro I no Largo do Rocio, atual praça Tiradentes",Fotografia de Marc Ferrez,,Q155,-22.906747/-43.182709,Q3180571,Q11469,Q71989864,0071824cx006-01,Q172984,56.0 degree,18.0 centimetre,24.0 centimetre,66456
,,"Estátua do General Osório, vendo-se ao fundo o Morro do Castelo",Fotografia de Marc Ferrez,,Q155,-22.902927/-43.174632,Q3180571,Q11469,Q71989864,0071824cx006-02,Q172984,37.0 degree,18.0 centimetre,24.0 centimetre,66535
,,Monumento a Pedro Alvares Cabral - Largo da Glória,Fotografia de Marc Ferrez,,Q155,-22.920488/-43.17664,Q3180571,Q11469,Q71989864,0071824cx006-03,Q172984,50.0 degree,18.0 centimetre,24.0 centimetre,66457
,,Monumento a José de Alencar,Fotografia de Marc Ferrez,,Q155,-22.932823000000006/-43.177463,Q3180571,Q11469,Q71989864,0071824cx006-04,Q172984,45.2 degree,18.0 centimetre,24.0 centimetre,66458
,,Entrada da baía e adjacências,Fotografia de Marc Ferrez,,Q155,-22.896223000000006/-43.17416,Q3180571,Q11469,Q71989864,0071824cx006-12,Q172984,57.0 degree,24.0 centimetre,18.0 centimetre,66459
,,Palácio do Catete - fachada,Fotografia de Marc Ferrez,,Q155,-22.926053/-43.176754,Q3180571,Q11469,Q71989864,0071824cx006-13,Q172984,68.0 degree,24.0 centimetre,18.0 centimetre,66539
,,Vista panorâmica da enseada de Botafogo a partir do topo do Corcovado,Fotografia de Marc Ferrez,,Q155,-22.951847/-43.209967,Q3180571,Q11469,Q71989864,0071824cx006-15,Q172984,63.8 degree,24.0 centimetre,18.0 centimetre,66461
,,"Viaduto do Silvestre, Estrada de Ferro do Corcovado, Km 1 (aproximadamente)",Fotografia de Marc Ferrez,,Q155,-22.946321/-43.205085,Q3180571,Q11469,Q71989864,0071824cx006-16,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66536
,,A lagoa do Jardim Botânico,Fotografia de Marc Ferrez,,Q155,-22.968103/-43.22538,Q3180571,Q11469,Q71989864,0071824cx007-01,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66462
,,Rua Jardim Botânico,Fotografia de Marc Ferrez,,Q155,-22.96749/-43.220294,Q3180571,Q11469,Q71989864,0071824cx007-02,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66463
,,Corcovado a partir do Jardim Botânico,Fotografia de Marc Ferrez,,Q155,-22.963001/-43.201753,Q3180571,Q11469,Q71989864,0071824cx007-03,Q172984,66.2 degree,24.0 centimetre,18.0 centimetre,66464
,,Vista do Pão de Açúcar,Fotografia de Marc Ferrez,,Q155,-22.949538/-43.156639,Q3180571,Q11469,Q71989864,0071824cx007-04,Q172984,56.2 degree,24.0 centimetre,18.0 centimetre,7052
,,Monumento a Pedro Álvares Cabral,Fotografia de Marc Ferrez,,Q155,-22.920488/-43.17664,Q3180571,Q11469,Q71989864,0071824cx010-10,Q172984,55.4 degree,18.0 centimetre,24.0 centimetre,66515
,,Largo da Carioca (Antigo),Fotografia de Marc Ferrez,,Q155,-22.906563/-43.178787,Q3180571,Q11469,Q71989864,0071824cx011-02,Q172984,50.0 degree,24.0 centimetre,18.0 centimetre,66467
,,"Praça XV de Novembro, vendo-se o Chafariz Mestre Valentim em primeiro plano",Fotografia de Marc Ferrez,,Q155,-22.902703/-43.174596,Q3180571,Q11469,Q71989864,0071824cx011-03,Q172984,44.2 degree,24.0 centimetre,18.0 centimetre,66468
,,"Praça XV de Novembro, vendo-se  Chafariz Mestre Valentim em primeiro plano",Fotografia de Marc Ferrez,,Q155,-22.902709/-43.174598,Q3180571,Q11469,Q71989864,0071824cx011-04,Q172984,45.8 degree,24.0 centimetre,18.0 centimetre,66469
